상품명,적용시작일,판매가,매입단가,개당순마진
장갑걸이,2026-07-01,7950.0,2112.0,4184.0
장갑걸이,2026-07-14,7450.0,2112.0,3788.0
젤네일 쑥오프,2026-07-01,5450.0,561.0,1716.0
젤네일 쑥오프,2026-07-08,4950.0,561.0,1314.0
조각 칼 ,2026-07-01,4950.0,442.20000000000005,903.0
줄눈헤라,2026-07-01,3000.0,461.99999999999994,-586.0
지압봉,2026-07-01,6450.0,1254.0,1943.0
지워지는볼펜,2026-07-01,5450.0,1155.0,536.0
짱짱 머리끈,2026-07-01,4950.0,422.40000000000003,1263.0
칼베임손가락골무,2026-07-01,5950.0,1188.0,974.0
컨페티,2026-07-01,4950.0,653.4,3267.0
컨페티,2026-07-06,3950.0,653.4,2475.0
콧볼,2026-07-01,6950.0,709.5,2774.0
큐티클 쪽가위,2026-07-01,5450.0,4.7,2272.0
큐티클 쪽가위,2026-07-22,5450.0,1551.0,726.0
톱,2026-07-01,6450.0,1881.0,677.0
파티선글라스,2026-07-01,7900.0,2263.8,1368.0
페인트 붓,2026-07-01,7950.0,1287.0,2459.0
페인트 붓,2026-07-30,6450.0,1287.0,1271.0
펜슬샤프너,2026-07-01,6950.0,1006.4999999999999,2477.0
펜슬샤프너,2026-07-24,5220.0,1006.4999999999999,1086.0
하트집게핀,2026-07-01,6450.0,1187.9999999999998,1690.0
허리바지고무줄,2026-07-01,3000.0,990.0,-764.0
효자손,2026-07-01,6900.0,923.9999999999999,2391.0
휴대용 돋보기,2026-07-01,3000.0,1056.0,-695.0
휴대용 돋보기 카드형,2026-07-01,7900.0,660.0,3729.0
휴대용 돋보기 카드형,2026-07-30,5900.0,660.0,2085.0
